Gene_A	Gene_B	correlation
AT1G02870	AT2G40700	0.9627552051188865
AT1G02870	AT2G40360	0.9627310945724112
AT1G10490	AT2G18900	0.9627121265025608
AT1G19920	AT3G22890	0.9626948738622998
AT1G15440	AT3G23620	0.9626644091327659
AT1G72320	AT3G57660	0.9626330443421756
AT1G56110	AT3G03960	0.9626068115017717
AT1G12650	AT4G28200	0.962423089271761
AT1G55330	AT2G46330	0.9623802263211987
AT1G31660	AT1G56110	0.9623681292614017
AT1G47710	AT5G04170	0.9622729955024412
AT1G03530	AT5G14520	0.962150788926876
AT1G02870	AT5G14520	0.962132483447961
AT1G06380	AT5G52820	0.9621113036341727
AT1G22770	AT2G40080	0.9620266015695731
AT1G34220	AT1G47710	0.9620149298328011
AT1G15440	AT5G38720	0.9619889354992136
AT1G69870	AT1G72700	0.9619836354772144
AT1G62560	AT1G65860	0.9619786279974917
AT1G16280	AT3G10530	0.9619260933574563
AT1G31660	AT5G54910	0.9618409591653131
AT1G15420	AT5G05210	0.961796364044987
AT1G72520	AT2G35710	0.9617413180996872
AT1G29940	AT5G11240	0.9617200251999567
AT1G15820	AT1G52230	0.9616637724184676
AT1G68830	AT1G75100	0.9616241055983904
AT1G29940	AT2G18900	0.9615793547565916
AT1G07360	AT4G03430	0.9614050108208122
AT1G06720	AT1G29940	0.9613959113537908
AT1G72320	AT5G14520	0.9613954491276325
AT1G47710	AT2G21130	0.9613875518341479
AT1G02870	AT3G01160	0.9613794194422206
AT1G16280	AT2G37990	0.9613715730220272
AT1G54770	AT5G05210	0.9613119536507063
AT1G07360	AT2G47250	0.9612584721980597
AT1G10490	AT5G08620	0.9611488815335828
AT1G29940	AT3G01160	0.9610419263404074
AT1G48920	AT4G04940	0.9610368776769147
AT1G47710	AT2G42520	0.9610280786872136
AT1G03600	AT4G25080	0.960940370612412
AT1G15440	AT5G11240	0.9609159797493979
AT1G03870	AT5G44020	0.960913786799259
AT1G75670	AT2G40360	0.9608635892216577
AT1G16280	AT4G04940	0.9608359715761607
AT1G15440	AT1G43860	0.9608312359549381
AT1G10490	AT1G69070	0.9608170610243095
AT1G24510	AT3G18190	0.9607990670710003
AT1G31660	AT3G55620	0.9606906658561167
AT1G69830	AT3G52180	0.960683080451756
AT1G06720	AT3G01160	0.9606711865841171
AT1G13160	AT1G15420	0.960610076664804
AT1G48920	AT3G21540	0.9605944189322435
AT1G13160	AT4G15770	0.9605642164394246
AT1G69070	AT3G16810	0.9605440611398653
AT1G31660	AT5G08620	0.9604763762935093
AT1G09010	AT5G37680	0.9604435134566912
AT1G72320	AT5G38720	0.960435508786408
AT1G31660	AT4G25630	0.9604334603629613
AT1G10490	AT1G56110	0.9604318704237508
AT1G31280	AT5G41010	0.9603019374360006
AT1G03360	AT3G46210	0.9601967913633739
AT2G40080	AT5G61380	0.9601937938926968
AT1G15420	AT3G24080	0.9601911804035155
AT1G31660	AT5G15750	0.9601766218810428
AT1G06380	AT4G02400	0.9600677086044251
AT1G23740	AT1G60000	0.9600471653500446
AT1G16280	AT2G45730	0.9600415025338002
AT1G56110	AT5G14520	0.9600103102297796
AT1G07050	AT5G23240	0.9599394094986468
AT1G03130	AT1G15820	0.9598732486867759
AT1G20920	AT4G03430	0.9598299256153716
AT1G75670	AT5G08620	0.9597802497201652
AT1G52930	AT2G40360	0.9596587034197079
AT1G06380	AT1G72320	0.9596036730710097
AT1G54770	AT2G29540	0.959580448816816
AT1G56110	AT5G62440	0.9595377948221917
AT1G11800	AT4G28200	0.959510015334913
AT1G56110	AT5G41190	0.9594538202411605
AT1G48920	AT5G11240	0.959444067050369
AT1G13690	AT3G62840	0.9594100644124395
AT1G02870	AT3G57940	0.9593160075333551
AT1G03360	AT3G26410	0.9592670030521685
AT1G06720	AT5G11240	0.9592535457902456
AT1G03530	AT3G16810	0.9592510615163815
AT1G06380	AT5G24840	0.9592488462789858
AT1G03530	AT1G10490	0.9591658301911477
AT1G29940	AT4G26600	0.9591335085478256
AT1G29690	AT4G34150	0.9590955678089619
AT1G19150	AT2G29290	0.9590603871871414
AT1G47710	AT3G56090	0.9589556378549983
AT1G74090	AT4G12030	0.958905697228054
AT1G31660	AT3G11964	0.9588079937344172
AT1G19150	AT5G52100	0.9588014907261322
AT1G54780	AT4G25080	0.9587856504981914
AT1G25260	AT3G56990	0.9587805805258492
AT1G31660	AT5G59240	0.9587773548625982
AT1G25260	AT4G26600	0.9587157318712073
AT1G54770	AT4G28200	0.9586656731876747
AT1G01620	AT2G45960	0.9586328911172363
AT1G10490	AT2G47420	0.9586255395085277
AT1G25260	AT5G16750	0.9586181794452302
AT1G03360	AT3G13230	0.9585885330776219
AT1G20630	AT2G21130	0.9585249736088421
AT1G15820	AT1G21500	0.9584872781339464
AT1G15420	AT3G62310	0.9584711411722964
AT1G56110	AT3G13940	0.9584009521170419
AT1G72320	AT5G64420	0.9583326053196852
AT1G75100	AT3G25690	0.9583147958769401
AT1G06380	AT4G04940	0.9583036564287547
AT1G03530	AT2G40360	0.9582975683419319
AT1G69070	AT4G25630	0.9582696522271831
AT1G02870	AT1G25260	0.9582693816462422
AT1G51510	AT5G47880	0.9582675329026177
AT1G56110	AT5G08620	0.9582562154398958
AT1G34220	AT4G20890	0.9581903077067628
AT1G43860	AT2G47990	0.9581745914193
AT1G10090	AT3G16180	0.9581403555827778
AT1G77930	AT4G09350	0.9581381068632605
AT1G16280	AT4G34910	0.9581229462604409
AT1G31230	AT3G57050	0.958006854794896
AT1G75670	AT3G13230	0.9579995104988305
AT1G52980	AT3G56990	0.9579267076396112
AT1G22270	AT5G59240	0.9578883292942668
AT1G15440	AT3G12270	0.957834032332887
AT1G15420	AT4G15770	0.9577843022183077
AT1G11960	AT4G04340	0.9577742551226082
AT1G47710	AT4G20890	0.9577713128771329
AT1G56340	AT5G61790	0.9577356502277959
AT1G31660	AT1G69070	0.9577272968774824
AT1G72320	AT3G18600	0.9577217906656275
AT1G03530	AT4G04940	0.9576814815295975
AT1G03530	AT3G55510	0.9576799742341224
AT1G72320	AT4G04940	0.95765233178582
AT1G29940	AT3G13230	0.9576336427609534
AT1G12650	AT3G58660	0.9576004902167725
AT1G22270	AT5G15750	0.957472104096334
AT1G03130	AT1G19150	0.9574432955657632
AT1G31660	AT5G16750	0.9573604918021729
AT1G68010	AT5G46110	0.9573304591717456
AT1G18740	AT4G27652	0.9573290080130421
AT1G23740	AT2G04039	0.9572831354654611
AT1G06720	AT3G57660	0.9572748063579711
AT1G29940	AT5G50320	0.9571084874362265
AT1G14320	AT4G26230	0.9571077170254944
AT1G54770	AT3G01160	0.957049786406948
AT1G04945	AT2G44510	0.9570320879114913
AT1G02870	AT3G55510	0.957026447515683
AT2G26080	AT4G15560	0.9570252575664503
AT1G02870	AT3G56990	0.9569139312236613
AT1G03530	AT2G47990	0.9568716151048844
AT1G72320	AT4G23540	0.9568123213378581
AT1G48920	AT4G02400	0.9567238313388808
AT1G31660	AT4G05410	0.9567168481251932
AT1G16280	AT3G57940	0.956703715578177
AT1G15420	AT2G29540	0.9566661350541501
AT1G14150	AT5G58260	0.9566442366988898
AT1G51950	AT3G04730	0.9566343587030007
AT1G48920	AT3G58660	0.9566309843455757
AT1G04810	AT4G38630	0.956566412124329
AT1G15820	AT4G01050	0.9565367734864407
AT1G04945	AT2G19380	0.9564578299280642
AT1G56110	AT2G40360	0.9563874816421172
AT1G29940	AT3G23620	0.9563192298539795
AT1G15120	AT1G65290	0.95631241724178
AT1G18590	AT2G14750	0.9563116625764545
AT1G25260	AT2G44860	0.9562824774028852
AT1G75670	AT3G10530	0.9562380485222441
AT1G72320	AT5G48240	0.956224361232411
AT1G25260	AT4G25630	0.9561301577132675
AT1G06380	AT3G15460	0.9561091887338256
AT1G75670	AT3G12270	0.9560761833242828
AT1G16280	AT4G05410	0.9560555108873074
AT1G30360	AT2G19450	0.9560047618921429
AT1G59870	AT4G38550	0.95597006981083
AT1G72320	AT4G25730	0.9559563428936004
AT1G12650	AT3G13230	0.9559064199761388
AT1G72320	AT3G15460	0.9558619805829455
AT1G07010	AT1G23740	0.9558584915511591
AT1G74880	AT5G58260	0.9558171131672698
AT1G29940	AT1G79150	0.955809862526045
AT1G08520	AT5G03940	0.9558017813336508
AT1G21500	AT1G51400	0.9557907623379199
AT1G32560	AT5G06760	0.9557358757284745
AT1G15820	AT3G21055	0.9557150043568656
AT1G32990	AT3G62030	0.9556332429202071
AT1G53590	AT5G04220	0.9556041338573046
AT1G10580	AT3G18790	0.9555963983693679
AT1G06380	AT3G21540	0.9555201121563237
AT1G15420	AT2G17250	0.9554497906165272
AT1G20630	AT1G47710	0.9554374888296284
AT1G52930	AT3G56070	0.9553800297088486
AT1G15440	AT5G12220	0.9553179963582115
AT1G30820	AT5G14520	0.9552977350604577
AT1G63780	AT2G19540	0.95528430008513
AT1G01470	AT2G17840	0.955123039457389
AT1G10490	AT4G25730	0.9550917480363411
AT1G12650	AT2G17250	0.9550706470782874
AT1G53500	AT5G15490	0.9550699434713263
AT1G01940	AT5G20160	0.9550293827477837
AT1G72320	AT2G45730	0.9549293608167662
AT1G52980	AT5G16750	0.9549244278746614
AT1G52980	AT5G14050	0.9548415040092462
AT1G25260	AT3G10090	0.9547827599795943
AT1G29940	AT5G57280	0.9547245622281351
AT1G44000	AT3G15850	0.9547189162866339
AT4G32570	AT5G24520	0.9546933102721562
AT1G03530	AT1G06380	0.9546522759935726
AT1G72320	AT2G47990	0.9546410277803771
AT1G06720	AT5G15550	0.954632366819018
AT1G52930	AT5G24840	0.9545886331216302
AT1G44000	AT1G44446	0.9545851289948178
AT1G31660	AT5G52820	0.9545726656814155
AT1G48030	AT1G70580	0.9545554179700918
AT2G40080	AT2G46340	0.9545052538045828
AT1G43860	AT2G37990	0.9544916072685997
AT1G50920	AT3G58660	0.9544772354586734
AT1G10760	AT4G09020	0.9544374141345293
AT1G30360	AT4G04340	0.9544116157098818
AT1G36160	AT5G10480	0.9543723781549077
AT1G01940	AT2G33730	0.954334343494398
AT1G11240	AT3G49990	0.9542146976584827
AT1G56190	AT4G26520	0.9541716519576068
AT1G75670	AT4G25630	0.9541579556613315
