protein1	protein2
AT1G50420	AT5G44160
AT1G51070	AT3G56970
AT1G52520	AT5G03510
AT1G52880	AT1G68880
AT1G52880	AT4G36920
AT1G52890	AT1G69600
AT1G53230	AT2G45680
AT1G53230	AT5G08330
AT1G53230	AT1G58100
AT1G53230	AT1G69690
AT1G53230	AT3G47620
AT1G53910	AT3G10040
AT1G54160	AT2G37060
AT1G54160	AT2G47810
AT1G54160	AT1G54830
AT1G54160	AT1G21970
AT1G54160	AT5G63470
AT1G54160	AT1G56170
AT1G54160	AT1G08970
AT1G54160	AT3G48590
AT1G54160	AT5G47640
AT1G54160	AT5G47670
AT1G54160	AT2G38880
AT1G54160	AT4G14540
AT1G54330	AT1G64620
AT1G54830	AT3G05690
AT1G54830	AT2G34720
AT1G54830	AT2G37060
AT1G54830	AT1G72830
AT1G54830	AT1G21970
AT1G54830	AT1G09030
AT1G54830	AT1G54160
AT1G54830	AT1G30500
AT1G54830	AT5G47670
AT1G54830	AT3G20910
AT1G54830	AT2G38880
AT1G54830	AT3G14020
AT1G54830	AT4G14540
AT1G54830	AT5G12840
AT1G54830	AT3G53340
AT1G54830	AT2G47810
AT1G54830	AT2G13570
AT1G54830	AT1G17590
AT1G54830	AT5G47640
AT1G54830	AT5G06510
AT1G54830	AT2G27470
AT1G55580	AT2G17950
AT1G56160	AT1G73730
AT1G56170	AT3G05690
AT1G56170	AT2G34720
AT1G56170	AT2G37060
AT1G56170	AT1G72830
AT1G56170	AT1G21970
AT1G56170	AT1G54160
AT1G56170	AT5G47670
AT1G56170	AT3G20910
AT1G56170	AT2G38880
AT1G56170	AT4G14540
AT1G56170	AT5G12840
AT1G56170	AT3G53340
AT1G56170	AT2G47810
AT1G56170	AT2G13570
AT1G56170	AT3G10800
AT1G56170	AT5G47640
AT1G56170	AT2G27470
AT1G56650	AT5G41315
AT1G56650	AT4G09820
AT1G56650	AT1G63650
AT1G56650	AT5G11260
AT1G56650	AT1G62990
AT1G56650	AT1G34790
AT1G58100	AT5G60970
AT1G58100	AT1G69690
AT1G58100	AT4G18170
AT1G58100	AT3G02150
AT1G58100	AT1G53230
AT1G58110	AT2G12940
AT1G59530	AT5G08141
AT1G59530	AT5G61620
AT1G59640	AT5G37020
AT1G59750	AT3G50060
AT1G60040	AT2G03060
AT1G60040	AT1G18750
AT1G60280	AT5G01860
AT1G60380	AT4G01520
AT1G60880	AT2G22630
AT1G60880	AT4G37940
AT1G60880	AT5G26880
AT1G62360	AT3G15170
AT1G62360	AT5G53950
AT1G62360	AT2G17950
AT1G62360	AT5G02030
AT1G62360	AT2G37630
AT1G62990	AT1G32770
AT1G62990	AT3G08500
AT1G62990	AT2G46770
AT1G62990	AT4G08150
AT1G62990	AT1G63910
AT1G62990	AT1G79180
AT1G62990	AT5G12870
AT1G62990	AT1G17950
AT1G62990	AT1G56650
AT1G62990	AT4G34610
AT1G62990	AT5G56110
AT1G62990	AT4G22680
AT1G62990	AT1G28470
AT1G62990	AT5G16600
AT1G62990	AT4G28500
AT1G63650	AT1G56650
AT1G63650	AT5G35550
AT1G63650	AT5G53200
AT1G63650	AT2G37260
AT1G63650	AT3G27920
AT1G63650	AT5G14750
AT1G63650	AT2G30432
AT1G63650	AT1G66370
AT1G63650	AT3G13540
AT1G63650	AT2G30420
AT1G63650	AT4G01060
AT1G63650	AT1G66380
AT1G63650	AT1G79840
AT1G63650	AT2G47190
AT1G63650	AT1G01380
AT1G63650	AT1G71030
AT1G63650	AT1G66390
AT1G63650	AT2G30424
AT1G63650	AT5G40330
AT1G63650	AT2G46410
AT1G63910	AT1G32770
AT1G63910	AT2G46770
AT1G63910	AT1G71930
AT1G63910	AT1G62990
AT1G63910	AT1G28470
AT1G63910	AT4G28500
AT1G64620	AT1G54330
AT1G65300	AT2G24840
AT1G65330	AT4G25530
AT1G65330	AT1G01530
AT1G65330	AT5G60440
AT1G65330	AT2G24840
AT1G65360	AT5G48670
AT1G65620	AT1G32240
AT1G65620	AT2G45190
AT1G65620	AT2G26580
AT1G65620	AT3G15030
AT1G65620	AT2G33860
AT1G65620	AT1G23380
AT1G65620	AT1G70510
AT1G65620	AT4G08150
AT1G65620	AT2G37630
AT1G65620	AT5G16560
AT1G66350	AT2G43010
AT1G66350	AT1G09530
AT1G66370	AT5G41315
AT1G66370	AT4G09820
AT1G66370	AT1G63650
AT1G66380	AT5G41315
AT1G66380	AT4G09820
AT1G66380	AT1G63650
AT1G66390	AT5G41315
AT1G66390	AT4G09820
AT1G66390	AT1G63650
AT1G66470	AT5G14750
AT1G66600	AT1G45249
AT1G66600	AT1G80840
AT1G67970	AT5G62020
AT1G67970	AT3G51910
AT1G67970	AT2G26150
AT1G67970	AT5G43840
AT1G67970	AT5G45710
AT1G67970	AT5G03720
AT1G67970	AT3G24520
AT1G67970	AT3G63350
AT1G67970	AT1G46264
AT1G67970	AT4G18880
AT1G67970	AT1G32330
AT1G67970	AT4G17750
AT1G67970	AT4G11660
AT1G67970	AT4G13980
AT1G67970	AT5G54070
AT1G67970	AT3G22830
AT1G67970	AT5G16820
AT1G67970	AT4G36990
AT1G67970	AT2G41690
AT1G67970	AT3G02990
AT1G68320	AT5G13080
AT1G68840	AT3G25990
AT1G68880	AT4G36920
AT1G68880	AT1G45249
AT1G68880	AT3G19290
AT1G68880	AT5G49450
AT1G68880	AT1G52880
AT1G68880	AT2G36270
AT1G68880	AT5G11260
AT1G68880	AT4G02640
AT1G68880	AT2G44840
AT1G68880	AT4G34000
AT1G68880	AT2G46270
AT1G68880	AT3G10800
AT1G68880	AT1G42990
AT1G68880	AT5G04340
AT1G68880	AT3G24650
AT1G69010	AT1G19350
AT1G69120	AT4G36920
AT1G69120	AT5G15840
AT1G69120	AT5G61850
AT1G69120	AT3G18990
AT1G69180	AT1G43700
AT1G69490	AT5G39610
AT1G69600	AT1G52890
AT1G69600	AT4G27410
AT1G69690	AT5G60970
AT1G69690	AT3G02150
AT1G69690	AT1G30210
AT1G69690	AT1G58100
AT1G69690	AT1G53230
AT1G70510	AT1G65620
AT1G70510	AT2G37630
AT1G70920	AT3G46080
AT1G70920	AT4G13480
AT1G71030	AT5G41315
AT1G71030	AT4G09820
AT1G71030	AT1G63650
AT1G71930	AT5G12870
AT1G71930	AT1G63910
AT1G71930	AT3G08500
AT1G72010	AT5G60970
AT1G72360	AT3G10040
AT1G72650	AT2G32250
AT1G72830	AT2G37060
AT1G72830	AT2G47810
AT1G72830	AT1G54830
AT1G72830	AT5G63470
AT1G72830	AT1G56170
AT1G72830	AT3G48590
AT1G72830	AT5G47640
AT1G72830	AT5G47670
AT1G72830	AT2G38880
AT1G72830	AT4G14540
AT1G72980	AT3G27940
AT1G73410	AT1G32770
AT1G73410	AT1G28470
AT1G73410	AT4G28500
AT1G73730	AT1G56160
AT1G75080	AT2G43010
AT1G75080	AT2G01570
AT1G75080	AT2G20180
AT1G75080	AT5G11260
AT1G75080	AT1G30330
AT1G75080	AT1G19350
AT1G75080	AT1G14920
AT1G75540	AT5G11260
AT1G75710	AT3G58120
AT1G76320	AT5G57620
AT1G76420	AT1G26780
AT1G76870	AT5G60142
AT1G76870	AT3G04930
AT1G76870	AT3G14180
AT1G76870	AT3G58630
AT1G76870	AT4G00238
AT1G76890	AT3G24490
AT1G77080	AT2G22540
AT1G77450	AT1G01720
AT1G78600	AT5G11260
AT1G78600	AT3G17609
AT1G49720	AT1G49720
AT1G49720	AT4G34000
AT1G49720	AT2G36270
AT1G49720	AT1G14920
AT1G49720	AT1G45249
AT1G45249	AT1G45249
AT1G45249	AT4G34000
AT1G45249	AT3G19290
AT1G45249	AT2G36270
AT1G45249	AT5G15840
AT1G45249	AT5G53950
AT1G45249	AT1G14920
AT1G45249	AT5G06650
AT4G34000	AT4G34000
AT4G34000	AT2G36270
AT4G34000	AT2G40340
AT1G49720	AT3G19290
AT4G34000	AT3G19290
AT3G19290	AT3G19290
AT3G19290	AT4G25480
AT3G19290	AT5G05410
AT3G19290	AT2G40340
AT3G19290	AT2G18550
AT3G24650	AT2G36270
AT3G24650	AT5G15840
AT3G24650	AT1G14920
AT3G24650	AT2G20180
AT3G24650	AT2G01570
AT3G24650	AT2G40220
AT3G19290	AT2G36270
AT2G36270	AT2G36270
AT2G36270	AT3G18550
AT2G36270	AT2G41070
AT2G36270	AT1G14920
AT2G36270	AT3G61910
AT2G36270	AT5G37260
AT2G36270	AT3G15030
AT2G36270	AT5G65210
AT2G45190	AT5G16560
AT2G45190	AT3G26620
AT2G45190	AT5G67300
AT2G45190	AT5G27910
AT2G45190	AT4G01500
AT2G45190	AT3G47620
AT2G45190	AT3G15030
AT2G45190	AT5G60970
AT2G45190	AT5G60120
AT2G45190	AT5G25160
AT4G18960	AT4G18960
AT4G18960	AT3G61120
AT4G18960	AT3G57230
AT4G18960	AT2G45650
AT4G18960	AT5G60910
AT4G18960	AT1G69120
AT4G18960	AT3G54340
AT1G47760	AT5G15840
AT1G47760	AT1G77450
AT1G47760	AT4G18390
AT3G18650	AT1G60920
AT3G18650	AT1G60880
AT3G18650	AT3G49940
AT3G18650	AT5G27910
AT3G18650	AT3G47620
AT1G22130	AT1G18750
AT1G22130	AT1G69540
AT1G71692	AT5G08790
AT1G71692	AT5G53200
AT4G11880	AT3G57230
AT4G11880	AT5G60910
AT4G11880	AT5G02840
AT4G11880	AT4G18390
AT4G18960	AT5G13790
AT5G13790	AT5G13790
AT5G13790	AT3G57230
