protein1	protein2
TBX2	NKX2-5
TBX4	PITX1
TBX4	HOXC10
MYOG	PAX3
MYOG	MYF6
MYOG	MYOD1
MYOG	MYF5
MYOG	MEF2D
MYOG	MYRF
MYOG	MEF2C
MYOG	TCF3
MYOG	TCF4
MYOG	TCF12
MYOG	PAX7
MYOG	NCOA2
MYOG	MEF2A
AHR	ARNT
AHR	MAF
AHR	ARNT2
AHR	NFE2L2
AHR	ESR1
HOXA7	JUN
HOXA7	HOXA5
HOXA7	HOXA6
HOXA7	HOXB6
HOXA7	FOS
HOXA7	HOXC4
HOXA7	SP1
HOXA7	HOXC5
HOXA7	HOXB7
HOXA7	HOXB5
HOXA7	HOXD4
HOXA7	HOXC6
HOXA7	HOXB4
HOXA7	ETS1
HOXA7	CEBPA
HOXA7	ETS2
TWIST1	NR3C1
TWIST1	SNAI1
TWIST1	ESR1
TWIST1	ESRRA
TWIST1	STAT1
TWIST1	ZEB2
TWIST1	TP53
TWIST1	TWIST2
TWIST1	STAT6
TWIST1	STAT3
TWIST1	ZEB1
TWIST1	SNAI2
TWIST1	HIVEP3
NEUROG3	SOX9
NEUROG3	PAX4
NEUROG3	ONECUT1
NEUROG3	HES1
NEUROG3	NKX6-2
NEUROG3	INSM1
NEUROG3	NKX6-1
NEUROG3	PDX1
NEUROG3	NEUROD1
NEUROG3	NKX2-2
EGR2	PBX1
EGR2	HOXA2
EGR2	HOXA1
EGR2	RXRA
EGR2	SOX10
EGR2	HOXB2
EGR2	EGR1
EGR2	JUN
EGR2	MEIS1
EGR2	RARG
EGR2	MAFB
EGR2	EGR3
EGR2	HOXB3
EGR2	NCOA3
EGR2	FOSB
EGR2	HOXB1
EGR2	PKNOX1
EGR2	POU3F1
EGR2	CEBPB
EGR2	RARA
BHLHE41	BHLHE40
BHLHE41	NR1D1
BHLHE41	NR1D2
BHLHE41	RORB
BHLHE41	NFIL3
BHLHE41	RORA
BHLHE41	NPAS2
BHLHE41	CLOCK
BHLHE41	ARNTL
NEUROD4	FOXN4
HOXC13	FOXN1
HOXC6	HOXA5
HOXC6	HOXA6
HOXC6	HOXB6
HOXC6	HOXC8
HOXC6	HOXB3
HOXC6	HOXC4
HOXC6	HOXC5
HOXC6	HOXB7
HOXC6	HOXB5
HOXC6	HOXD4
HOXC6	HOXB4
HOXC6	HOXA7
BATF3	JUN
BATF3	JUND
BATF3	FOS
BATF3	JUNB
BATF3	NFATC1
BATF3	CREB5
BATF3	NFATC2
BATF3	NFATC3
SNAI1	JUN
SNAI1	NR2E1
SNAI1	GATAD2B
SNAI1	ATF2
SNAI1	TP53
SNAI1	MECOM
SNAI1	NANOG
SNAI1	SMAD3
