protein1	protein2
SMAD4	NR3C1
SMAD4	ATF2
SMAD4	RUNX1
SMAD4	FOXH1
SMAD4	SP1
SMAD4	NANOG
SMAD4	CTCF
SMAD4	SNAI1
SMAD4	SMAD3
SMAD4	ATF3
SMAD4	ESR1
SMAD4	PBX1
SMAD4	TGIF2
SMAD4	EPAS1
SMAD4	GATA3
SMAD4	KLF4
SMAD4	MEF2C
SMAD4	TCF3
SMAD4	RUNX3
SMAD4	NCOA1
SMAD4	TGIF1
SMAD4	TCF7
SMAD4	FOXO1
SMAD4	SMAD9
SMAD4	DLX1
SMAD4	GATA4
SMAD4	MYC
SMAD4	SALL4
SMAD4	TCF7L2
SMAD4	E2F4
SMAD4	TCF7L1
SMAD4	ZSCAN10
SMAD4	JUN
SMAD4	FOS
SMAD4	E2F5
SMAD4	DRAP1
SMAD4	SP3
SMAD4	NKX2-5
SMAD4	TFDP1
SMAD4	JUNB
SMAD4	HNF1A
SMAD4	HNF4A
SMAD4	TFE3
SMAD4	MYOD1
SMAD4	POU5F1
SMAD4	VDR
SMAD4	LIN28A
SMAD4	FOXO3
SMAD4	HMGA2
SMAD4	SOX2
SMAD4	SKIL
SMAD4	IRF7
SMAD4	LEF1
SMAD4	ZBTB17
SMAD4	SKI
SMAD4	SMAD5
SMAD4	SMAD1
SMAD4	CEBPB
SMAD4	AR
SMAD4	NCOA2
SMAD4	MAX
SMAD4	PRDM14
SMAD4	HIF1A
SMAD4	FOXO4
SMAD4	FOXG1
SOX18	PROX1
SOX18	NR2F2
ETV7	ETV6
LIN54	E2F1
LIN54	E2F5
LIN54	MYBL2
LIN54	TFDP1
LIN54	MYBL1
LIN54	E2F4
LIN54	FOXM1
CREB3	CREB3L4
CREB3	CREB3L2
CREB3	ATF2
CREB3	CREB1
CREB3	ATF4
CREB3	CREB5
CREB3	ATF1
CREB3	CREBZF
CREB3	CREB3L1
CREB3	ATF6B
CREB3	CREB3L3
FOXM1	LIN54
FOXM1	ONECUT1
FOXM1	MYBL2
FOXM1	SP1
FOXM1	E2F8
FOXM1	ESR1
FOXM1	MYC
FOXM1	TP53
FOXM1	CENPA
FOXM1	STAT3
MESP2	HES7
MESP2	TCF3
MESP2	TCF4
MESP2	TBX6
MESP2	TCF12
NKX2-3	TBX5
POU1F1	TBX19
POU1F1	LHX4
POU1F1	ESX1
POU1F1	LHX3
POU1F1	HESX1
POU1F1	PROP1
SP100	IRF9
SP100	IRF1
SP100	IRF4
SP100	IRF3
SP100	IRF2
SP100	TP53
SP100	IRF8
SP100	IRF7
SP100	IRF5
SP100	IRF6
SKOR1	LBX1
HOXA1	MEIS1
HOXA1	RARG
HOXA1	HOXB3
HOXA1	PBX1
HOXA1	NCOA3
HOXA1	HOXB1
HOXA1	PKNOX1
HOXA1	EGR2
HOXA1	RXRA
HOXA1	RARA
HOXA9	MEIS1
HOXA9	PBX2
HOXA9	PBX1
HOXA9	HOXA10
HOXA9	PBX3
OTX2	SIX6
OTX2	PAX2
OTX2	SOX2
OTX2	ISL1
OTX2	SIX3
OTX2	FOXA2
ESR2	SP1
ESR2	ESR1
ESR2	NCOA1
ESR2	ZNF14
ESR2	NR0B1
ESR2	JUN
ESR2	FOS
ESR2	NCOA3
ESR2	NCOA2
ATF3	JUND
ATF3	ATF2
ATF3	CREM
ATF3	SMAD3
ATF3	ATF4
ATF3	KLF6
ATF3	EGR1
ATF3	SMAD4
ATF3	JUN
ATF3	FOS
ATF3	TP53
ATF3	CREB1
ATF3	JUNB
ATF3	XBP1
ATF3	CEBPB
ATF3	ATF1
ATF3	DDIT3
LIN28B	HMGA2
LIN28B	SOX2
NR4A2	LMX1B
NR4A2	NEUROG2
NR4A2	PITX3
NR4A2	FOSB
NR4A2	LMX1A
IKZF3	IKZF4
IKZF3	IRF4
IKZF3	IKZF1
GFI1B	GATA1
MAFK	MAFF
MAFK	NFE2L2
MAFK	NFE2L3
MAFK	BACH2
MAFK	MAFG
MAFK	NFE2L1
MAFK	NFE2
RBPJ	E2F1
RBPJ	HEYL
RBPJ	SPEN
RBPJ	PBX1
RBPJ	STAT1
RBPJ	HES5
RBPJ	ELF3
RBPJ	RUNX3
RBPJ	MYC
RBPJ	RBPJL
RBPJ	HES7
RBPJ	CREB1
RBPJ	TFDP1
RBPJ	HEY2
RBPJ	HES1
RBPJ	PTF1A
RBPJ	E2F3
RBPJ	HEY1
ZNF69	ZNF70
ZNF69	ZNF71
MAFF	MAFG
MAFF	NFE2L2
MAFF	MAFK
MAFF	NFE2L1
MAFF	NFE2
E2F1	ELF1
E2F1	LIN54
E2F1	MYBL2
E2F1	E2F7
E2F1	SP1
E2F1	E2F8
E2F1	PCGF6
E2F1	MEF2C
E2F1	ETS2
E2F1	E2F4
E2F1	PPARG
E2F1	E2F5
E2F1	TP53
E2F1	TBP
E2F1	MGA
E2F1	TFDP1
E2F1	GSC
E2F1	E2F2
E2F1	E2F3
E2F1	ETS1
E2F1	DNMT1
E2F1	SPI1
E2F1	MAX
E2F1	RBPJ
E2F1	E2F6
GATA2	GATA1
GATA2	RUNX1
GATA2	MYB
GATA2	ZFPM1
GATA2	GATA3
GATA2	TCF3
GATA2	GATA5
GATA2	TCF12
GATA2	GATA4
GATA2	ZFPM2
GATA2	JUN
GATA2	FOS
GATA2	GATA6
GATA2	TAL1
GATA2	CEBPA
GATA2	SPI1
NFYA	NFYC
NFYA	ZHX3
NFYA	TP53
NFYA	SP1
NFYA	ZHX1
NFYA	NFYB
NFYA	MAX
NFYA	MYC
NFYA	DDIT3
NFYA	SREBF2
TEAD3	TEAD2
TEAD3	TEAD4
TEAD3	RUNX3
TEAD3	LEF1
TEAD3	TEAD1
TEAD3	TCF7
TEAD3	TCF7L2
TEAD3	TCF7L1
MEF2A	MYF6
MEF2A	ESRRA
MEF2A	MEF2D
MEF2A	MEF2C
MEF2A	TCF3
MEF2A	TCF12
MEF2A	JUN
MEF2A	MYOG
MEF2A	MYOD1
MEF2A	NFATC1
MEF2A	MYF5
MEF2A	TCF4
NKX2-1	PAX8
NKX2-1	GATA6
NKX2-1	LHX8
NKX2-1	LHX6
GABPA	MTERF1
GABPA	NRF1
GPBP1L1	CCDC17
LMX1B	PAX2
LMX1B	PBX1
LMX1B	PBX3
LMX1B	MEIS2
LMX1B	MEIS1
LMX1B	NR4A2
MBD6	FOXK2
MBD6	FOXK1
SREBF1	NR1H4
SREBF1	NR1H3
SREBF1	FOXO1
SREBF1	MLXIPL
SREBF1	PPARG
SREBF1	TP53
SREBF1	HNF4A
SREBF1	RORA
SREBF1	CEBPA
SREBF1	NR1H2
RBCK1	ZBTB16
RBCK1	ZNF645
RBCK1	FBXL19
BCL11B	NR2F2
BCL11B	SATB2
BCL11B	TBR1
BCL11B	CUX1
IRF5	JUN
IRF5	NR3C1
IRF5	STAT2
IRF5	ATF2
IRF5	IRF2
IRF5	IRF9
IRF5	IRF1
IRF5	IRF4
IRF5	SP100
IRF5	IRF7
IRF5	IRF3
IRF5	GTF2B
IRF5	RELA
IRF5	GTF3A
IRF5	EGR1
IRF5	IRF6
HOMEZ	HOXC8
ARID5A	SOX5
CREB5	CREB3L4
CREB5	JUN
CREB5	JUND
CREB5	CREB3L2
CREB5	ATF2
CREB5	FOS
CREB5	CREB1
CREB5	JUNB
CREB5	ATF4
CREB5	BATF3
CREB5	ATF1
CREB5	CREB3
CREB5	CREB3L1
CREB5	ATF6B
CREB5	CREB3L3
CREB5	ATF7
MAFG	MAFF
MAFG	NFE2L2
MAFG	MAFK
MAFG	NFE2L3
MAFG	FOSB
MAFG	NFE2L1
MAFG	NFE2
ELK4	ELK1
ELK4	SRF
NR3C2	NR3C1
NR3C2	PGR
NR3C2	AR
PAX5	ELF1
PAX5	RUNX1
PAX5	MYB
PAX5	IRF4
PAX5	TCF3
PAX5	BCL6
PAX5	PRDM1
PAX5	BACH2
PAX5	EBF1
PAX5	LEF1
PAX5	ETS1
PAX5	ELF2
ARNT	JUN
ARNT	ARNT2
ARNT	HIF3A
ARNT	CREB1
ARNT	AHR
ARNT	SP1
ARNT	AHRR
ARNT	HEY2
ARNT	SMAD3
ARNT	EPAS1
ARNT	NCOA1
ARNT	SIM2
ARNT	SIM1
ARNT	SMAD4
ARNT	HIF1A
MAX	NFYC
MAX	E2F1
MAX	MXI1
MAX	PIN1
MAX	GFI1
MAX	MGA
MAX	TFDP1
MAX	SMAD3
MAX	KMT2A
MAX	PCGF6
MAX	PHF20
MAX	IRF8
MAX	ZBTB17
MAX	MXD1
MAX	NFYB
MAX	NFYA
MAX	MYC
MAX	SMAD4
MAX	HBP1
MAX	E2F6
TFEB	MITF
TFEB	TFE3
TCF20	AR
DNMT1	E2F1
DNMT1	PHF1
DNMT1	SP1
DNMT1	MECP2
DNMT1	TET1
DNMT1	BAZ2A
DNMT1	AEBP2
DNMT1	MTF2
DNMT1	TP53
DNMT1	TFDP1
DNMT1	E2F2
DNMT1	E2F3
DNMT1	STAT3
DNMT1	PHF19
DNMT1	TTF1
DNMT1	MBD2
HAND2	NKX2-5
HAND2	NFATC1
HAND2	MEF2C
HAND2	TBX5
HAND2	GATA4
HAND2	HAND1
ELF3	RBPJ
RXRG	PPARD
RXRG	RXRB
RXRG	NR1H4
RXRG	NR1H3
RXRG	NCOA1
RXRG	RXRA
RXRG	PPARG
RXRG	RARG
RXRG	THRA
RXRG	PAX8
RXRG	VDR
RXRG	PPARA
RXRG	RARB
RXRG	NR4A1
RXRG	NCOA2
RXRG	THRB
RXRG	NR1H2
RXRG	RARA
TEAD4	HOXB13
TEAD4	TEAD3
TEAD4	TEAD2
TEAD4	RUNX3
TEAD4	LEF1
TEAD4	TEAD1
TEAD4	TCF7
TEAD4	CDX2
TEAD4	TCF7L2
TEAD4	TCF7L1
HOXA4	CTCF
HOXA4	NCOA3
HOXA4	RXRA
HOXA4	RARB
HOXA4	RARA
ETS2	JUN
ETS2	E2F1
ETS2	FOS
ETS2	SRF
ETS2	RUNX1
ETS2	ERF
ETS2	SP1
ETS2	ETS1
ETS2	CEBPA
ETS2	HOXA7
CUX1	BCL11B
CUX1	STAT1
CUX1	STAT5B
CUX1	TBR1
CUX1	STAT5A
CUX1	STAT3
GATAD2A	JUN
GATAD2A	NR2E1
GATAD2A	GATA1
GATAD2A	GATAD2B
GATAD2A	ATF2
GATAD2A	TP53
GATAD2A	MECOM
GATAD2A	TBP
GATAD2A	ZNF219
GATAD2A	SNAI1
GATAD2A	ZFPM1
GATAD2A	DNTTIP1
GATAD2A	CBX2
GATAD2A	CDC5L
GATAD2A	REST
GATAD2A	PHF21A
GATAD2A	MBD3
GATAD2A	ZNF217
GATAD2A	SNAI2
GATAD2A	EGR1
GATAD2A	SALL4
GATAD2A	PPARG
GATAD2A	TTF1
GATAD2A	MBD2
PLAGL1	TP53
ZNF219	ZNF423
ZNF219	ZNF521
ZNF219	GATAD2A
ZNF219	MBD2
STAT1	RUNX2
STAT1	NR3C1
STAT1	STAT2
STAT1	IRF9
STAT1	ESR1
STAT1	IRF1
STAT1	ESRRA
STAT1	STAT5B
STAT1	MSX2
STAT1	STAT4
STAT1	JUN
STAT1	TBX21
STAT1	FOS
STAT1	IRF2
STAT1	HES1
STAT1	CUX1
STAT1	STAT6
STAT1	TWIST1
STAT1	STAT5A
STAT1	NKX3-2
STAT1	DLX6
STAT1	IRF8
STAT1	IRF7
STAT1	HEY1
STAT1	DLX5
STAT1	STAT3
STAT1	SP110
STAT1	RBPJ
SREBF2	NFYC
SREBF2	NR1H4
SREBF2	SP1
SREBF2	NFYB
SREBF2	NFYA
SREBF2	PPARG
DLX1	SMAD3
DLX1	SMAD4
ZEB1	SMAD3
ZEB1	STAT6
ZEB1	TWIST1
ZEB1	STAT3
ZEB1	ZEB2
ZNF830	XPA
ZNF521	MAF
ZNF521	ZNF219
ZNF521	AR
NFE2L1	MAFF
NFE2L1	MAFK
NFE2L1	MAFG
NFE2L1	NRF1
ZSCAN20	ZNF397
HOXB1	MEIS1
HOXB1	RARG
HOXB1	PBX2
HOXB1	MAFB
HOXB1	HOXB3
HOXB1	CTCF
HOXB1	PBX1
HOXB1	NCOA3
HOXB1	HOXA2
HOXB1	PKNOX1
HOXB1	EGR2
HOXB1	HOXA1
HOXB1	RXRA
HOXB1	HOXA3
HOXB1	PKNOX2
HOXB1	HOXB2
HOXB1	RARA
PAX9	MSX1
E2F2	E2F1
E2F2	ELF1
E2F2	SP1
E2F2	MEF2C
E2F2	TBP
E2F2	YY1
E2F2	TFDP1
E2F2	GSC
E2F2	E2F3
E2F2	DNMT1
E2F2	SPI1
AHCTF1	CENPT
AHCTF1	CENPA
HLX	STAT4
ESRRG	ESRRA
ESRRG	NCOA1
PROX1	SOX18
IRF6	JUN
IRF6	NR3C1
IRF6	STAT2
IRF6	ATF2
IRF6	IRF2
IRF6	IRF9
IRF6	IRF1
IRF6	IRF4
IRF6	SP100
IRF6	IRF7
IRF6	IRF3
IRF6	IRF5
IRF6	GTF2B
IRF6	RELA
IRF6	GTF3A
IRF6	EGR1
SOX13	LEF1
SOX13	TCF7
SOX13	SOX5
SOX13	TCF7L2
SOX13	TCF7L1
KDM5B	MYC
KDM5B	TFAP2C
KDM5B	TFAP2A
NR5A2	ESR1
NR5A2	NCOA3
NR5A2	POU5F1
NR5A2	ZNF217
NR5A2	NR0B1
NR5A2	NCOA2
LHX9	LHX2
HIVEP2	TCF4
TBX19	LHX3
TBX19	HESX1
TBX19	PITX1
TBX19	POU1F1
POU2F1	JUN
POU2F1	ATF2
POU2F1	FOS
POU2F1	TBP
POU2F1	YY1
POU2F1	SP1
POU2F1	ESR1
POU2F1	ZC3H8
POU2F1	ZNF143
POU2F1	GATA3
POU2F1	STAT6
POU2F1	SNAPC2
POU2F1	SOX2
POU2F1	FOXA1
POU2F1	POU2AF1
POU2F1	STAT3
POU2F1	GTF2B
POU2F1	SNAPC5
POU2F1	POU2F2
POU2F1	BRF2
POU2F1	SNAPC4
TCF21	TBX18
TCF21	WT1
ATF6	YY1
ATF6	XBP1
ATF6	ATF4
ATF6	DDIT3
ATF6	ATF6B
NR1I3	NCOA1
NR1I3	NCOA2
USF1	USF2
USF1	SP1
USF1	ESR1
USF1	NCOA3
USF1	NCOA1
USF1	NCOA2
ETV3	E2F4
HEY2	HEYL
HEY2	ARNT
HEY2	RUNX2
HEY2	GATA6
HEY2	HES1
HEY2	HEY1
HEY2	GATA4
HEY2	HIF1A
HEY2	RBPJ
HSF2	HSF1
HSF2	ZNF704
HSF2	NR1D1
HSF2	ESR1
HSF2	JUN
HSF2	CEBPB
NKX6-2	NEUROG3
CREB3L4	CREB3L2
CREB3L4	CREB1
CREB3L4	ATF1
CREB3L4	ATF4
CREB3L4	CREB3
CREB3L4	CREB3L1
CREB3L4	ATF6B
CREB3L4	CREB5
CREB3L4	CREB3L3
GATAD2B	JUN
GATAD2B	NR2E1
GATAD2B	CBX2
GATAD2B	GATA1
GATAD2B	ATF2
GATAD2B	TP53
GATAD2B	REST
GATAD2B	MECOM
GATAD2B	TBP
GATAD2B	MBD3
GATAD2B	SNAI1
GATAD2B	ZFPM1
GATAD2B	SNAI2
GATAD2B	EGR1
GATAD2B	SALL4
GATAD2B	GATAD2A
GATAD2B	PPARG
GATAD2B	TTF1
GATAD2B	MBD2
NR2E1	JUN
NR2E1	GATAD2B
NR2E1	ATF2
NR2E1	TP53
NR2E1	MECOM
NR2E1	SNAI1
NR2E1	GATAD2A
NR2E1	CBX2
NR2E1	REST
NR2E1	MBD3
NR2E1	SNAI2
NR2E1	EGR1
NR2E1	SALL4
NR2E1	PPARG
PRDM1	TP53
PRDM1	XBP1
PRDM1	BACH2
PRDM1	IRF4
PRDM1	PAX5
VAX1	ZNF462
SIM1	ARNT
SIM1	ARNT2
SIM1	OTP
TCF7L2	JUN
TCF7L2	SOX13
TCF7L2	TEAD3
TCF7L2	FOS
TCF7L2	TEAD2
TCF7L2	HNF4A
TCF7L2	KLF4
TCF7L2	TEAD4
TCF7L2	SOX17
TCF7L2	TCF4
TCF7L2	RUNX3
TCF7L2	LEF1
TCF7L2	SOX4
TCF7L2	TEAD1
TCF7L2	TCF7
TCF7L2	AR
TCF7L2	NCOA2
TCF7L2	MYC
TCF7L2	SMAD4
TCF7L2	HBP1
TCF7L2	TCF7L1
TBX18	NKX2-5
TBX18	WT1
TBX18	TCF21
PCGF6	E2F1
PCGF6	PCGF2
PCGF6	MGA
PCGF6	TFDP1
PCGF6	CBX2
PCGF6	AEBP2
PCGF6	MAX
PCGF6	E2F6
NFKB2	REL
NFKB2	NFKB1
NFKB2	RELB
NFKB2	RELA
PITX3	PITX2
PITX3	NR4A2
LBX1	SKOR1
TLX1	ZNF384
DR1	ZZZ3
DR1	TBP
DR1	DRAP1
PAX2	LMX1B
PAX2	WT1
PAX2	LHX1
PAX2	OTX2
PAX2	GBX2
PAX2	SOX2
PAX2	ETS1
MTF2	PHF1
MTF2	AEBP2
MTF2	DNMT1
MTF2	PHF19
GFI1	MYC
GFI1	POU4F3
GFI1	ZBTB17
GFI1	SPI1
GFI1	MAX
GTF2B	NR3C1
GTF2B	ATF2
GTF2B	POU2F1
GTF2B	TBPL2
GTF2B	SP1
GTF2B	ESR1
GTF2B	IRF1
GTF2B	ZNF143
GTF2B	IRF4
GTF2B	NCOA1
GTF2B	RXRA
GTF2B	IRF3
GTF2B	SNAPC4
GTF2B	JUN
GTF2B	IRF2
GTF2B	TBP
GTF2B	ZC3H8
GTF2B	NCOA3
GTF2B	SNAPC2
GTF2B	IRF7
GTF2B	IRF5
GTF2B	RELA
GTF2B	GTF3A
GTF2B	TBPL1
GTF2B	SNAPC5
GTF2B	NCOA2
GTF2B	POU2F2
GTF2B	IRF6
GTF2B	RARA
SOX3	PAX6
ZZZ3	DR1
FOXD3	PAX3
FOXD3	NANOG
FOXD3	POU5F1
FOXD3	SOX2
FOXD3	MSX1
FOXD3	SOX10
FOXD3	TFAP2A
FOXD3	SNAI2
NFIA	ADNP
JUN	ELK1
JUN	ARNT
JUN	JUND
JUN	NR3C1
JUN	GATAD2B
JUN	ATF2
JUN	BATF
JUN	POU2F1
JUN	CREM
JUN	SP1
JUN	SNAI1
JUN	SMAD3
JUN	ATF3
JUN	ESR1
JUN	IRF1
JUN	NR1H3
JUN	ATF4
JUN	IRF4
JUN	GATA3
JUN	NFATC2
JUN	STAT1
JUN	MEF2D
JUN	MEF2C
JUN	NCOA1
JUN	BATF2
JUN	IRF3
JUN	REST
JUN	GTF2B
JUN	KLF6
JUN	MBD3
JUN	ETS2
JUN	MYC
JUN	HSF2
JUN	EGR1
JUN	MEF2A
JUN	SALL4
JUN	SMAD4
JUN	TCF7L2
JUN	PPARG
JUN	ATF7
JUN	STAT4
JUN	FOSL1
JUN	NR2E1
JUN	NFE2L2
JUN	FOS
JUN	MAFB
JUN	FOXP3
JUN	IRF2
JUN	TP53
JUN	MECOM
JUN	CREB1
JUN	FOSL2
JUN	YY1
JUN	HOXB3
JUN	JUNB
JUN	NCOA3
JUN	JDP2
JUN	PPARA
JUN	FOSB
JUN	NFATC1
JUN	GATAD2A
JUN	CREB5
JUN	EGR2
JUN	CBX2
JUN	IRF7
JUN	NFATC3
JUN	FOXA1
JUN	ESR2
JUN	IRF5
JUN	ETS1
JUN	STAT3
JUN	CEBPA
JUN	RELA
JUN	CEBPB
JUN	GTF3A
JUN	BATF3
JUN	SPI1
JUN	SNAI2
JUN	HOXA7
JUN	IRF6
JUN	HIF1A
JUN	DDIT3
JUN	ETV5
JUN	KDM2B
JUN	GATA2
RUNX2	SOX9
RUNX2	SP7
RUNX2	TP53
RUNX2	HEY2
RUNX2	HES1
RUNX2	SMAD3
RUNX2	VDR
RUNX2	TRPS1
RUNX2	STAT1
RUNX2	LEF1
RUNX2	ETS1
RUNX2	DLX5
RUNX2	SMAD5
RUNX2	ZBTB16
RUNX2	CEBPA
RUNX2	SMAD1
RUNX2	CEBPB
RUNX2	AR
RUNX2	SMAD4
RUNX2	MSX2
ZNF217	ESR1
ZNF217	DNTTIP1
ZNF217	PHF21A
ZNF217	NR5A2
ZNF217	NCOA3
ZNF217	GATAD2A
CDC5L	YBX1
CDC5L	ZNF526
CDC5L	SPEN
CDC5L	CARF
CDC5L	NFIC
CDC5L	ADNP
CDC5L	ETV6
CDC5L	GATAD2A
CDC5L	ZNF653
CDC5L	GTF2I
LHX3	TBX19
LHX3	LHX4
LHX3	POU1F1
LHX3	ISL1
NCOA3	JUN
NCOA3	JUND
NCOA3	MEIS1
NCOA3	NR3C1
NCOA3	RARG
NCOA3	FOS
NCOA3	THRA
NCOA3	USF2
NCOA3	PCGF2
NCOA3	TBP
NCOA3	YY1
NCOA3	HOXB3
NCOA3	RXRB
NCOA3	SP1
NCOA3	CTCF
NCOA3	ESR1
NCOA3	PBX1
NCOA3	EBF1
NCOA3	FOSB
NCOA3	HOXB1
NCOA3	PKNOX1
NCOA3	GATA3
NCOA3	ETV4
NCOA3	EGR2
NCOA3	PAX6
NCOA3	HOXD4
NCOA3	HOXA1
NCOA3	ESRRB
NCOA3	NCOA1
NCOA3	FOXA1
NCOA3	RXRA
NCOA3	HOXA4
NCOA3	ESR2
NCOA3	USF1
NCOA3	HOXB4
NCOA3	CEBPA
NCOA3	GTF2B
NCOA3	RARB
NCOA3	PGR
NCOA3	ZNF217
NCOA3	CEBPB
NCOA3	GTF3A
NCOA3	AR
NCOA3	NR5A2
NCOA3	NCOA2
NCOA3	CEBPD
NCOA3	THRB
NCOA3	MYC
NCOA3	RARA
NCOA3	PPARG
PRRX2	HOXB13
YBX1	CDC5L
YBX1	TP53
HIVEP3	NR3C1
HIVEP3	ESR1
HIVEP3	ESRRA
HIVEP3	TWIST1
HIVEP3	NKX3-2
HIVEP3	DLX6
HIVEP3	DLX5
HIVEP3	MSX2
ESX1	LHX4
ESX1	POU1F1
FOXO6	STAT3
DNTTIP1	GATAD2A
DNTTIP1	TRERF1
DNTTIP1	PHF21A
DNTTIP1	ZNF217
DNTTIP1	ZNF541
HEYL	HEY2
HEYL	HES1
HEYL	HEY1
HEYL	RBPJ
POU3F1	EGR2
FOXP4	HAND1
FOXP4	FOXP3
FOXP4	FOXP2
DACH2	DACH1
TFAP2E	TFAP2B
TFAP2E	TFAP2D
TFAP2E	TFAP2C
TFAP2E	TFAP2A
MAFB	JUN
MAFB	HOXB3
MAFB	CTCF
MAFB	PBX1
MAFB	HOXB1
MAFB	PKNOX1
MAFB	EGR2
MAFB	PAX6
MAFB	HOXA3
PBX3	MEIS1
PBX3	LMX1B
PBX3	HOXA5
PBX3	HOXA9
PBX3	MEIS2
CDX4	TBPL2
NR5A1	SOX9
NR5A1	WT1
NR5A1	FOXL2
NR5A1	NCOA1
NR5A1	TRERF1
NR5A1	NR0B1
NR5A1	NCOA2
NR5A1	GATA4
LHX2	HOXA2
LHX2	LHX9
TET1	NANOG
TET1	DNMT1
ATOH7	PAX6
ATOH7	POU4F2
TGIF2	SMAD3
TGIF2	TGIF1
TGIF2	SMAD4
PHF20	TP53
PHF20	MGA
PHF20	KMT2A
PHF20	MAX
PHF20	E2F6
SPDEF	AR
LIN28A	NANOG
LIN28A	PBX1
LIN28A	EPAS1
LIN28A	KLF4
LIN28A	MYC
LIN28A	SALL4
LIN28A	SMAD4
LIN28A	ZSCAN10
LIN28A	POU5F1
LIN28A	HMGA2
LIN28A	SOX2
LIN28A	STAT3
LIN28A	PRDM14
FOXO4	SMAD3
FOXO4	FOXO1
FOXO4	SMAD4
FOXO4	TP53
FOXO4	FOXO3
FOXO4	STAT3
FOXO4	CEBPB
FOXO4	FOXG1
PHF1	AEBP2
PHF1	MTF2
PHF1	DNMT1
PHF1	PHF19
KLF4	NANOG
KLF4	PBX1
KLF4	EPAS1
KLF4	MYC
KLF4	SALL4
KLF4	SMAD4
KLF4	TCF7L2
KLF4	ZSCAN10
KLF4	TP53
KLF4	POU5F1
KLF4	LIN28A
KLF4	SOX2
KLF4	CEBPB
KLF4	SPI1
KLF4	PRDM14
RXRB	PPARD
RXRB	NR1H4
RXRB	NR1H3
RXRB	NCOA1
RXRB	RXRA
RXRB	RXRG
RXRB	PPARG
RXRB	RARG
RXRB	THRA
RXRB	PAX8
RXRB	NCOA3
RXRB	VDR
RXRB	PPARA
RXRB	RARB
RXRB	NR4A1
RXRB	NCOA2
RXRB	THRB
RXRB	NR1H2
RXRB	RARA
AR	NR3C2
AR	MAF
AR	RUNX2
AR	NR3C1
AR	SMAD3
AR	NCOA1
AR	FOXO1
AR	SPDEF
AR	NR0B1
AR	MYC
AR	ZNF521
AR	SMAD4
AR	TCF7L2
AR	KAT7
AR	HOXB13
AR	TP53
AR	NCOA3
AR	TCF20
AR	NKX3-1
AR	FOXA1
AR	HEY1
AR	STAT3
AR	PGR
AR	NCOA2
PBX2	HOXA5
PBX2	HOXB7
PBX2	HOXB1
PBX2	PKNOX1
PBX2	HOXA9
PBX2	MEIS2
FOXE1	PAX8
XPA	ZNF830
ATF6B	CREB3L4
ATF6B	CREB3L2
ATF6B	ATF2
ATF6B	CREB1
ATF6B	XBP1
ATF6B	ATF4
ATF6B	CREB5
ATF6B	ATF6
ATF6B	DDIT3
ATF6B	CREB3
ATF6B	CREB3L1
ATF6B	CREB3L3
TFDP1	E2F1
TFDP1	ELF1
TFDP1	LIN54
TFDP1	E2F5
TFDP1	TP53
TFDP1	PCGF2
TFDP1	TBP
TFDP1	MYBL2
TFDP1	MGA
TFDP1	YY1
TFDP1	GSC
TFDP1	SP1
TFDP1	SMAD3
TFDP1	E2F2
TFDP1	TFE3
TFDP1	PCGF6
TFDP1	MEF2C
TFDP1	E2F3
TFDP1	DNMT1
TFDP1	SPI1
TFDP1	MAX
TFDP1	MYC
TFDP1	SMAD4
TFDP1	E2F4
TFDP1	RBPJ
TFDP1	E2F6
PAX7	MYF6
PAX7	MYOG
PAX7	MYOD1
PAX7	MYF5
ZBTB17	SP1
ZBTB17	SMAD3
ZBTB17	MYC
ZBTB17	SMAD4
ZBTB17	GFI1
ZBTB17	IRF8
ZBTB17	MAX
SPEN	CDC5L
SPEN	RBPJ
FOXP3	RUNX1
FOXP3	SMAD3
FOXP3	RORC
FOXP3	IRF4
FOXP3	GATA3
FOXP3	NFATC2
FOXP3	STAT5B
FOXP3	REL
FOXP3	JUN
FOXP3	TBX21
FOXP3	FOS
FOXP3	FOXP1
FOXP3	STAT6
FOXP3	STAT5A
FOXP3	FOXP2
FOXP3	STAT3
FOXP3	FOXP4
PTF1A	HES1
PTF1A	NKX6-1
PTF1A	HNF1B
PTF1A	RBPJL
PTF1A	RBPJ
DPRX	TPRX1
DPRX	LEUTX
GATA1	GATAD2B
GATA1	RUNX1
GATA1	MYB
GATA1	KMT2B
GATA1	FLI1
GATA1	ZFPM1
GATA1	GFI1B
GATA1	KMT2A
GATA1	GATA3
GATA1	TCF3
GATA1	GATA5
GATA1	TCF12
GATA1	MBD3
GATA1	GATA4
GATA1	NFE2
GATA1	ZFPM2
GATA1	KLF1
GATA1	GATA6
GATA1	HES1
GATA1	TAL1
GATA1	GATAD2A
GATA1	IKZF1
GATA1	HEY1
GATA1	SPI1
GATA1	GATA2
RORB	BHLHE40
RORB	RORC
RORB	NFIL3
RORB	RORA
RORB	BHLHE41
ZNF81	ZNF385B
CASZ1	ZFP1
KDM2B	JUN
NKX2-2	PAX4
NKX2-2	NEUROG3
NKX2-2	PAX6
NKX2-2	ISL1
NKX2-2	OLIG2
NKX2-2	NEUROD1
NKX2-2	FOXA2
POU4F1	TP53
POU4F1	ESR1
POU4F1	ISL1
ZKSCAN3	ZNF24
ZKSCAN3	ZSCAN32
ZKSCAN3	ZNF397
ZKSCAN3	ZKSCAN4
ZKSCAN3	ZNF396
ZKSCAN4	ZNF174
